50 100
-34 28 44
-37 50 13
41 -14 -41
-23 -12 18
-33 13 18
-30 -23 20
-44 -12 30
22 35 -49
-16 -14 -42
7 -13 47
6 35 37
47 14 25
33 15 -35
-44 -38 -27
-39 4 5
-33 -27 -40
-27 45 -46
-35 18 -48
-18 -3 -2
37 16 45
41 32 48
32 10 -18
48 37 7
-20 29 33
4 -21 9
41 47 19
47 22 -30
-15 -42 -44
-35 -25 -38
44 28 -10
33 -38 26
25 9 30
36 -19 44
29 -27 44
-14 -7 -5
-29 20 -18
25 21 41
23 -45 6
-5 -20 -43
48 -6 49
-23 50 -47
-41 -12 6
-12 29 -21
-45 23 -9
-33 25 -13
-1 3 -30
19 24 -32
-34 11 50
-50 10 -14
41 -27 -35
-41 -27 37
-46 -30 -38
-49 10 -37
43 7 -14
22 20 -22
40 41 -6
-28 -35 -21
23 47 -31
-43 -23 26
23 -41 49
-49 -25 10
-20 33 -45
30 -24 1
-11 -30 44
22 5 -12
27 -45 -3
35 -43 29
-23 -9 -37
-4 4 -34
-41 -18 19
-1 39 -50
4 14 -4
37 -3 -26
8 -37 15
-11 29 -1
-7 45 50
-40 29 1
-48 10 -36
-40 16 5
-50 36 44
-28 39 50
-18 43 -44
-30 -33 42
-27 -12 11
24 32 41
47 -28 -41
25 -15 -6
-13 -1 -27
-17 29 -47
-48 -2 32
8 -13 15
-13 13 11
-40 6 21
-38 -39 -21
7 -7 50
6 -18 46
-24 24 40
-8 -8 22
1 -19 -26
25 8 -44
